Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Caliente Mexican Food,carne asada ,7/6/17,,,,3.5,4.4,0,5.56,4,,,21,21.5,0.77,4,4,4,3,4,2,4,3,3,4,,Chris G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caliente Mexican Food,fried fish,7/6/17,,,,3.5,4.4,0,5.56,3.5,,,22.5,19,0.65,3.5,3,,3.5,3,4,4.5,3.5,4,3.5,,Xi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caliente Mexican Food,California,7/6/17,,,,3.5,4.4,0,6.47,4,,,23,22,0.89,1,2,2,2,3,3,1,2,3,2,,Erik K,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burrito Company,Dave's California,10/12/16,Miramar,6912 Miramar Rd,https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,0,6.5,4,,,19.5,21,0.68,3,2.5,2.5,3,4,3.5,2.5,3,5,3.3,No,Scott,The burrito looked beautiful when it came out. Chicken didn't add anything. would probably get the regular,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burrito Company,California,10/12/16,,,,3.5,4.4,0,5.5,4,,,20,20,0.64,3.5,5,3,3,3.5,3.5,2,4,5,3.5,Yes,Devleena,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burrito Company,California,10/12/16,,,,3.5,4.4,0,5.5,2,,,20,23,0.84,3,5,3,4,2,2,2,4.5,4,3.5,Yes,Sankha G,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burrito Company,Fajitas ,10/18/16,,,,3.5,4.4,0,6.5,3,,,18.5,20.5,0.62,3,4.5,3.5,1.5,1.5,2,3.2,2,4.5,2.2,No,Scott,Peppers not cooked enough,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burrito Company,California ,10/18/16,,,,3.5,4.4,0,5.5,3,,,17,22,0.65,3,4,4.5,3,2,4,4.5,3.5,4.5,3.5,No,Ricardo,Very plain burrito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,4/15/16,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,1,6.25,4,,,,,,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Yes,Scott,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,4/15/16,,,,4.5,4.4,0,6.25,3.5,,,,,,4,4,4,2.5,3,3.5,4,4,5,4,No,Brent,Brent doesn't like fries in his burrito,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,4/15/16,,,,4.5,4.4,0,6.25,4,,,,,,4,4.5,4.5,5,5,5,4.5,5,5,4.6,Yes,Luis,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,Chile relleno and carnitas,4/15/16,,,,4.5,4.4,0,6.5,5,,,,,,4.5,5,5,5,5,4,4,5,5,4.7,Yes,Karl,,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
California Burritos,California (only cheese),4/15/16,,,,4.5,4.4,0,6.25,2,,,,,,5,5,5,4,4,2,,5,5,5,Yes,Kalen,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,6/24/16,,,,4.5,4.4,0,6.25,3,,,23.5,21.5,0.86,3.8,1.3,3.5,3.5,4.5,4.5,3.5,4,5,3.9,Yes,Scott,Temperature brought it down,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,6/24/16,,,,4.5,4.4,0,6.25,4.5,,,22.5,22,0.87,4,4,4.5,4,4,3.5,4,4,4.5,4.25,Yes,Ricardo,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,6/24/16,,,,4.5,4.4,0,6.25,4,,,22.5,22,0.87,3,2.5,4,4,4,2,2,3,4,4,Yes,Elynn,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,6/24/16,,,,4.5,4.4,0,6.25,3,,,23,22.5,0.93,5,4,4,4.5,4,4.5,,4,4,4.5,Yes,Erin,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,6/24/16,,,,4.5,4.4,0,6.25,4,,,,,,4,3.5,4.5,4,4.5,4,4.5,4.5,5,4.5,Yes,Luis,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,Carnitas,6/24/16,,,,4.5,4.4,0,5.5,4.5,,,21.5,20,0.68,5,4,5,4,4.5,4,4,4.5,4,4.5,Yes,Matteo,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,Carne asada everything,6/24/16,,,,4.5,4.4,0,6.25,3,,,23,23,0.97,4,3,4,3,4,3,3,4,4,4,Yes,Brent,,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,Carne asada everything,6/24/16,,,,4.5,4.4,0,6.25,4.5,,,21.5,20.5,0.72,4,5,4.5,4,4.5,4,3,4,5,4.5,Yes,Daniel,,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,Carne asada everything,6/24/16,,,,4.5,4.4,0,6.25,5,,,23,21.5,0.85,4,3,5,4,4,4,5,5,3,4.2,Yes,Alejandro,,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,8/1/16,,,,4.5,4.4,0,6.25,4,,,22,20.8,0.76,4,4,3.5,4,3,4,4,3.5,4.5,3.75,Yes,Ricardo,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,8/1/16,,,,4.5,4.4,0,6.25,4,,,22.5,21.5,0.83,3,2,4,5,4,4,3,4,3,4,Yes,Elynn,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,8/1/16,,,,4.5,4.4,0,6.25,4,,,23,21.5,0.85,4,3.5,3.5,4,3.5,4,3.5,4,4.5,4,Yes,Matteo,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,8/1/16,,,,4.5,4.4,0,6.25,3.5,,,21,22.5,0.85,3.5,2,3,3.5,3.5,2.5,2.5,3.5,4.5,3.4,Yes,Scott,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,8/1/16,,,,4.5,4.4,0,6.25,3,,,22.5,21,0.79,4,4,4.5,5,4.75,5,4,4.5,4.5,0,Yes,Aga,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,Surf & Turf,8/1/16,,,,4.5,4.4,0,7,4.31,,,,,,3,2.5,3.5,3,3.5,4,3,3,4,0,Yes,Hannah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,Carne asada everything,8/1/16,,,,4.5,4.4,0,6.25,4.5,,,22,20,0.7,4.5,4,4,4.5,4,4,4.5,4.5,4,4,Yes,Brent,,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,California Everything,10/17/16,,,,4.5,4.4,0,6.95,4,,,22,23,0.93,4,2,4,3,4,5,3,3,4,4,yes,Elynn,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Burritos,Surf & Turf,10/17/16,,,,4.5,4.4,0,7,4,,,22.5,21,0.79,3,3,3.5,4,4,3,3,4,3.5,5,,Hannah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California burritos,California everything,4/7/17,,,,4.5,4.4,0,6.5,4.5,520,0.626506024,22.5,21.5,0.83,4.5,3,3.5,4.5,3.5,4,3.5,4.3,4.3,4.1,,Scott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California burritos,California everything,4/7/17,,,,4.5,4.4,0,6.5,4,476,0.56,23,21.5,0.85,4,3.5,4.5,4,3.5,4.5,4,4,4.5,4,,Ricardo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California burritos,California everything mini,4/7/17,,,,4.5,4.4,0,4.75,4,,,18,17,0.41,4,4,4.5,4.3,4.5,4.5,4.8,4.8,5,4.5,,Luis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California burritos,Surf & Turf,4/7/17,,,,4.5,4.4,0,6.75,4,560,0.565656566,24.5,22.5,0.99,4,4,4,3.5,3.5,3,2,3.5,3.5,3.5,,Hannah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California burritos,California everything,4/7/17,,,,4.5,4.4,0,6.5,4,,,21.3,23.8,0.96,3,3,4,4,4,4,3,4,4,4,,Clark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California burritos,Surf & Turf,4/7/17,,,,4.5,4.4,0,6.75,4,,,,,,3,5,5,,,5,,4,5,4.5,,Justin C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancun Mexican & Seafood,California,3/20/16,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,1,6.99,4,,,,,,4,4.5,4,3.5,4,2.5,2,4,4,4.2,,Scott,A bit small,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancun Mexican & Seafood,Machaca,3/20/16,,,,4.5,4.1,0,5.99,3,,,,,,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,,Emily,So hot! Egg is surprisingly good,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cancun Mexican & Seafood,Adobada,9/9/16,,,,4.5,4.1,0,6.45,3,,,19.5,21.5,0.72,4,5,3.5,3,3.5,3.5,4,2.5,4,3.5,Yes,Scott,Free salad,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancun Mexican & Seafood,California,9/9/16,,,,4.5,4.1,0,6.99,4,,,19.5,22,0.75,3,4.5,4,4,3.5,3,4,4,5,4,Yes,Emily,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancun Mexican & Seafood,California ,11/17/16,,,,4.5,4.1,0,6.99,4.3,,,,,,4.8,5,4,4.4,5,4,4.3,4.3,5,4.5,Yes,Scott,Sour cream is surprisingly good. Avocado salsa works very well on the burrito,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancun Mexican & Seafood,California ,11/17/16,,,,4.5,4.1,0,6.99,4,,,,,,4.5,4.5,4,4.5,4,4,3.5,4.5,5,4.5,Yes,Emily,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmen's Mexican Food,Adobada,8/19/16,Clairemont,4937 Diane Ave,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4,4.2,0,6.5,3.5,,,20.5,20.5,0.69,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,Yes,Scott,really good guac,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmen's Mexican Food,Carne asada,8/19/16,,,,4,4.2,0,6.5,5,,,21,21,0.74,4.5,4.5,3.5,4,4,3.5,4,4,4,4,Yes,Brent,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chili Peppers,Surf & Turf,5/28/16,,,,,,0,9.43,0,,,,,,4,5,5,5,5,5,5,5,5,5,Yes,Chris H,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chipotle,Custom,5/22/16,,,,,,0,7,3.5,,,,,,3,,5,3,3,4,4,4,4,4,Yes,Gurkirat S,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chipotle,Carnitas,9/13/16,Carlsbad,2505 Palomar airport Rd,https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,3,4.2,0,7.15,4,,,16.5,26.5,0.92,2.5,2.5,3,2.8,2.5,3.5,,3,3.5,2.75,Yes,Emily,,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Colima's ,Colimas burrito,5/31/16,,,,,,1,8.25,4,,,,,,5,5,5,5,5,5,,5,4.5,4.9,Yes,Brian,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colima's Mexican Food,Hawaiian,3/3/16,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,0,6.29,3.5,,,,,,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,,Scott,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Colima's Mexican Food,Bandido,3/3/16,,,,4,4.2,0,6.49,4.5,,,,,,3,5,4,4,5,4,2.5,4.5,4,4,,Sage,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Colima's Mexican Food,Bandido,3/3/16,,,,4,4.2,0,6.49,4.5,,,,,,3,4.5,3.5,3.5,3.5,3,3,3,4,3,,Eli,Promising start but finished poorly,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cortez Mexican Food,California ,10/7/16,Bonsall,5517 Mission Rd,https://www.yelp.com/biz/cortez-mexican-food-bonsall,4.2,4,0,6.25,4,,,22.5,18,0.58,3.5,4,2.5,3,1.5,2.5,2.5,2.8,5,3.2,No,Scott ,,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotixan,California,2/23/17,Clairemont,4370 Genessee Ave,https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,4,4,0,7.19,4.5,,,20,24,0.92,4,2,3,3.8,3.5,2,4,4,4,3.5,,Scott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotixan,California,6/16/17,,,,4,4,0,6.9,4.3,550,0.6875,19,23,0.8,3,3,3.5,3.5,3.5,3.5,3.8,4,5,3.7,,Scott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Carlos Taco Shop,California,5/9/17,La Jolla,737 Pearl St,https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,4,4.5,0,7.75,5,,,18,22.5,0.73,3.5,4.2,3.3,3.7,4,4,2.9,3,5,3.7,,Scott ,,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Carlos Taco Shop,California,5/9/17,,,,4,4.5,0,7.75,2.5,,,20,22.5,0.81,4,4,2.6,3.6,4,4,3.6,4,4,2.9,,Luis,,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donato's taco shop,California ,1/18/16,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,0,6.49,3,,,,,,3,5,3,3.5,4,4,4,4,4,3.8,,Scott,good fries: 4/5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Donato's Taco Shop,Al pastor ,11/1/16,,,,3.5,4.2,0,5.99,4,,,19.5,21.5,0.72,3,4.5,3.7,2.8,5,4.5,3,2.3,4.5,3,No,Scott,,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donato's Taco Shop,Carne asada,11/1/16,,,,3.5,4.2,0,5.99,2,,,21,23.5,0.92,2,4,4.5,4,4,3,4,4,2,4,Yes,Elynn,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Cuervo,California ,9/22/16,Hillcrest,110 Washington St,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4,4.3,0,6.95,3.5,,,20,21.5,0.74,3.5,3.5,3,4,3,3,4.5,3.5,2,3.6,Yes,Scott,Alfajores dessert and horchata are super good,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Cuervo,Pollo adobado,9/22/16,,,,4,4.3,0,5.95,4,,,20.5,20,0.65,3.5,5,4.5,3.5,4,4.5,4.5,4,5,4,Yes,Richard,First burrito I enjoyed from top to bottom,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado Mexican Food,California,6/16/16,Temecula,29000 Old Town Front St,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,0,6.94,4,,,,,,4,4,4,4.5,3.2,3,4.5,4.5,2,4.5,Yes,Scott,Salsa verde has an interesting hint of garlic,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado Mexican Food,Super,6/16/16,,,,4.5,4,0,6.94,3.75,,,,,,3.5,3.5,3.5,3.5,4,4,4.5,3.5,4.5,3.8,Yes,Emily,,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado Mexican Food,California,5/26/17,,,,4.5,4,0,7.4,3.3,,,19.5,24.5,0.93,5,4,4.2,3.5,2.9,3,4,4,4,4,,Scott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado Mexican Food,California,5/26/17,,,,4.5,4,0,7.4,3.5,,,19.5,26.5,1.09,4.5,4,4,3.5,3,3,2.5,4,3.8,3.8,,Emily,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Indio,California,3/17/16,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,0,7.84,4,,,,,,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,,Scott,,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Nopalito ,Especial ,6/1/16,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,4,4,1,4.87,2,,,19,23.5,0.83,3,4,1.5,2,3,5,3,2.5,5,2.6,No,Scott,"It's pretty good for what it is, but just not the best ingredients for a burrito. also Few white people",0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
